timestamp,model_type,cv_score,std,fold_scores,n_folds,scoring_metric

-- 다 날리고 다시 시작
2026-03-09 01:37:09,catboost,0.9158447315687531,0.0009756769592654145,"0.9155,0.9166,0.9159,0.9170,0.9142",5,auc
2026-03-09 01:37:34,lightgbm,0.9156540810685859,0.001052532621953864,"0.9153,0.9165,0.9158,0.9168,0.9138",5,auc
2026-03-09 01:37:43,xgboost,0.9149961246438254,0.0010311863176304377,"0.9147,0.9158,0.9151,0.9161,0.9132",5,auc
2026-03-09 01:37:46,ensemble,0.9162396887280067,,,5,auc


--- has_internet 파생 특성 after_encoding 추가
2026-03-09 01:45:33,catboost,0.9158475428167446,0.0009891758907825514,"0.9156,0.9166,0.9158,0.9171,0.9142",5,auc
2026-03-09 01:46:01,lightgbm,0.915681140725449,0.0009475013948123021,"0.9153,0.9166,0.9158,0.9167,0.9141",5,auc
2026-03-09 01:46:11,xgboost,0.9150540807505242,0.0009609090421336728,"0.9146,0.9158,0.9152,0.9162,0.9135",5,auc
2026-03-09 01:46:15,ensemble,0.9162398349063119,,,5,auc


--- optuna save params 활성화
2026-03-09 02:07:57,catboost,0.9160377150295477,0.0010544035010285604,"0.9158,0.9169,0.9160,0.9173,0.9142",5,auc
2026-03-09 02:12:11,lightgbm,0.9163318538126861,0.0009910355313866095,"0.9160,0.9171,0.9165,0.9175,0.9147",5,auc
2026-03-09 02:12:59,xgboost,0.9164487411054216,0.0009811150116518467,"0.9160,0.9173,0.9166,0.9176,0.9148",5,auc
2026-03-09 06:16:25,ensemble,0.9165908062497776,,,5,auc

2026-03-09 18:38:46,catboost,0.9129406180121626,0.0010487976319732543,"0.9125,0.9138,0.9132,0.9141,0.9112",5,auc
2026-03-09 18:40:23,lightgbm,0.9149170903169895,0.0010336426472934191,"0.9147,0.9157,0.9151,0.9161,0.9131",5,auc
2026-03-09 18:41:18,xgboost,0.9161069235462878,0.0009729058055663745,"0.9157,0.9169,0.9162,0.9173,0.9145",5,auc
2026-03-09 18:41:22,ensemble,0.9161321621628281,,,5,auc

--- optuna 최적화 후 진행

2026-03-09 21:06:23,catboost,0.9129408112149029,0.0010478257450931656,"0.9125,0.9138,0.9132,0.9141,0.9112",5,auc
2026-03-09 21:08:12,lightgbm,0.9149186392989606,0.0010353143698543824,"0.9147,0.9157,0.9151,0.9161,0.9131",5,auc
2026-03-09 21:09:17,xgboost,0.9161069235462878,0.0009729058055663745,"0.9157,0.9169,0.9162,0.9173,0.9145",5,auc
2026-03-09 21:09:22,ensemble,0.9161322769888046,,,5,auc

--- mlp 추가
2026-03-09 21:15:10,catboost,0.9129394185563087,0.0010472386473563261,"0.9125,0.9138,0.9132,0.9141,0.9112",5,auc
2026-03-09 21:16:55,lightgbm,0.9149186303226013,0.0010353144601043154,"0.9147,0.9157,0.9151,0.9161,0.9131",5,auc
2026-03-09 21:17:59,xgboost,0.9161069235462878,0.0009729058055663745,"0.9157,0.9169,0.9162,0.9173,0.9145",5,auc
2026-03-09 21:23:49,mlp,0.9118996583090092,0.0010299205624163816,"0.9119,0.9130,0.9114,0.9134,0.9106",5,auc

--- tenure -> log + 원본 제거 / InternetService one-hot encoding
2026-03-09 21:34:53,catboost,0.9131303738631182,0.001048615240687154,"0.9127,0.9139,0.9134,0.9143,0.9113",5,auc
2026-03-09 21:36:51,lightgbm,0.9151013891908321,0.001030176942604038,"0.9149,0.9159,0.9152,0.9163,0.9133",5,auc
2026-03-09 21:38:03,xgboost,0.9161624516208656,0.0009919250356251637,"0.9158,0.9170,0.9162,0.9173,0.9145",5,auc
2026-03-09 21:43:32,mlp,0.912214701685474,0.001046830910402829,"0.9113,0.9134,0.9125,0.9136,0.9111",5,auc
2026-03-09 21:43:38,ensemble,0.9161982814079231,,,5,auc

2026-03-09 21:56:27,mlp,0.9120715176208991,0.0010014466269080847,"0.9117,0.9132,0.9127,0.9133,0.9107",5,auc
2026-03-09 21:56:31,ensemble,0.9120715176208991,,,5,auc

2026-03-09 22:25:13,catboost,0.9129688693253487,0.001047847122020094,"0.9125,0.9138,0.9133,0.9141,0.9112",5,auc
2026-03-09 22:27:03,lightgbm,0.9149042262122035,0.0010027492383177495,"0.9147,0.9157,0.9151,0.9160,0.9132",5,auc
2026-03-09 22:27:19,xgboost,0.9147075018902319,0.0010055911223416183,"0.9145,0.9155,0.9148,0.9159,0.9130",5,auc
2026-03-09 22:27:24,ensemble,0.9149048679975386,,,5,auc

--- mlp optuna 추가
2026-03-09 23:07:30,catboost,0.9158423621264489,0.0009651088565256741,"0.9155,0.9166,0.9158,0.9170,0.9143",5,auc
2026-03-09 23:08:02,lightgbm,0.9156571010372189,0.0009716983794798098,"0.9153,0.9165,0.9158,0.9167,0.9140",5,auc
2026-03-09 23:08:12,xgboost,0.9150541414099354,0.0009616852516827188,"0.9146,0.9158,0.9152,0.9162,0.9135",5,auc
2026-03-09 23:16:30,mlp,0.9123220791667987,0.001080868316932236,"0.9119,0.9133,0.9124,0.9137,0.9106",5,auc
2026-03-09 23:16:34,ensemble,0.9162404570183246,,,5,auc


2026-03-09 23:52:58,catboost,0.9129398244322106,0.0010479183976165492,"0.9125,0.9138,0.9132,0.9141,0.9112",5,auc
2026-03-09 23:54:47,lightgbm,0.9149186370426967,0.001035311788871412,"0.9147,0.9157,0.9151,0.9161,0.9131",5,auc
2026-03-09 23:55:04,xgboost,0.9147096804266399,0.001010836872474863,"0.9144,0.9155,0.9148,0.9159,0.9130",5,auc
2026-03-10 00:03:09,mlp,0.9120125047142831,0.0012950891358029543,"0.9114,0.9131,0.9124,0.9136,0.9100",5,auc

--- high_risk_combo 추가
2026-03-10 00:08:03,catboost,0.9129463545387482,0.0010418105645773395,"0.9125,0.9138,0.9132,0.9141,0.9112",5,auc
2026-03-10 00:09:51,lightgbm,0.9149862393511466,0.001009557363903075,"0.9147,0.9158,0.9151,0.9161,0.9132",5,auc
2026-03-10 00:10:09,xgboost,0.9148245829538318,0.0009943820797590393,"0.9146,0.9155,0.9149,0.9160,0.9131",5,auc
2026-03-10 00:10:14,ensemble,0.9150083095320205,,,5,auc

--- num internet service 추가
2026-03-10 00:17:59,catboost,0.9129655354763216,0.0010494401216117534,"0.9125,0.9138,0.9133,0.9141,0.9112",5,auc
2026-03-10 00:19:48,lightgbm,0.9149886843052466,0.001023030173286456,"0.9147,0.9158,0.9151,0.9161,0.9132",5,auc
2026-03-10 00:20:05,xgboost,0.9147917956006536,0.0010147530724375674,"0.9145,0.9156,0.9149,0.9160,0.9130",5,auc
2026-03-10 00:20:09,ensemble,0.9150005292118079,,,5,auc


2026-03-10 00:49:16,catboost,0.913477843663584,0.0009491985114405302,"0.9130,0.9142,0.9137,0.9146,0.9119",5,auc
2026-03-10 00:51:14,lightgbm,0.9153825863040261,0.0009325965250207104,"0.9150,0.9160,0.9155,0.9165,0.9138",5,auc
2026-03-10 00:51:34,xgboost,0.915196948986851,0.0009376191013524142,"0.9149,0.9158,0.9154,0.9163,0.9136",5,auc
2026-03-10 00:51:38,ensemble,0.9154351420836908,,,5,auc
2026-03-10 01:00:15,catboost,0.9129484256672558,0.001041474903418725,"0.9125,0.9138,0.9132,0.9141,0.9112",5,auc
2026-03-10 01:02:21,lightgbm,0.9150130072763356,0.0010289306777254272,"0.9148,0.9158,0.9152,0.9162,0.9132",5,auc
2026-03-10 01:02:37,xgboost,0.9148096677834315,0.0010019239219925822,"0.9145,0.9156,0.9149,0.9160,0.9131",5,auc
2026-03-10 01:02:41,ensemble,0.91503359574112,,,5,auc
2026-03-10 01:07:43,catboost,0.9129487682866083,0.0010432698009135884,"0.9125,0.9138,0.9132,0.9141,0.9112",5,auc
2026-03-10 01:09:42,lightgbm,0.9150130007997219,0.0010289436959365396,"0.9148,0.9158,0.9152,0.9162,0.9132",5,auc
2026-03-10 01:10:00,xgboost,0.9148096677834315,0.0010019239219925822,"0.9145,0.9156,0.9149,0.9160,0.9131",5,auc
2026-03-10 05:32:06,catboost,0.916020583225967,0.0009684276872241947,"0.9157,0.9168,0.9160,0.9172,0.9144",5,auc
2026-03-10 05:34:22,lightgbm,0.9160338359924978,0.0009888565513658254,"0.9157,0.9168,0.9162,0.9172,0.9144",5,auc
2026-03-10 05:35:18,xgboost,0.9162376760432265,0.0009823805178629768,"0.9158,0.9171,0.9163,0.9174,0.9146",5,auc
2026-03-10 05:44:37,mlp,0.9117963354962111,0.0007995460226010088,"0.9115,0.9124,0.9122,0.9130,0.9107",5,auc
2026-03-10 05:44:42,ensemble,0.9164571940357547,,,5,auc


2026-03-10 09:40:49,catboost,0.9160216230065127,0.0009813824706351487,"0.9157,0.9168,0.9160,0.9172,0.9144",5,auc
2026-03-10 09:43:05,lightgbm,0.9160338364307649,0.000988856757158146,"0.9157,0.9168,0.9162,0.9172,0.9144",5,auc
2026-03-10 09:44:02,xgboost,0.9162376760432265,0.0009823805178629768,"0.9158,0.9171,0.9163,0.9174,0.9146",5,auc
2026-03-10 09:53:04,mlp,0.9117963354962111,0.0007995460226010088,"0.9115,0.9124,0.9122,0.9130,0.9107",5,auc
2026-03-10 09:53:09,ensemble,0.9164555862448333,,,5,auc

2026-03-10 10:05:12,catboost,0.9160255840482041,0.0009670505188936619,"0.9157,0.9168,0.9160,0.9172,0.9144",5,auc
2026-03-10 10:07:21,lightgbm,0.9160338341095724,0.0009888554424719526,"0.9157,0.9168,0.9162,0.9172,0.9144",5,auc
2026-03-10 10:08:17,xgboost,0.9162376760432265,0.0009823805178629768,"0.9158,0.9171,0.9163,0.9174,0.9146",5,auc
2026-03-10 10:08:21,ensemble,0.9164157166497497,,,5,auc

2026-03-10 10:11:54,xgboost,0.9160021206811919,0.0009860212306380223,"0.9157,0.9168,0.9161,0.9171,0.9143",5,auc
2026-03-10 10:11:57,ensemble,0.9160021206811919,,,5,auc

2026-03-10 10:29:26,catboost,0.9160272255288786,0.000964768423184375,"0.9157,0.9168,0.9160,0.9172,0.9144",5,auc
2026-03-10 10:31:35,lightgbm,0.9160323903441663,0.0009886500184907356,"0.9157,0.9168,0.9162,0.9172,0.9144",5,auc
2026-03-10 10:32:17,xgboost,0.9160021206811919,0.0009860212306380223,"0.9157,0.9168,0.9161,0.9171,0.9143",5,auc
2026-03-10 10:32:21,ensemble,0.9162277254568679,,,5,auc
