iter	Passed	Remaining
583	3190	786
584	3196	781
585	3201	775
586	3207	770
587	3212	764
588	3217	759
589	3223	754
590	3229	748
591	3235	743
592	3240	737
593	3246	732
594	3251	726
595	3256	721
596	3262	715
597	3267	710
598	3272	704
599	3278	699
600	3283	693
601	3288	688
602	3294	682
603	3299	677
604	3304	671
605	3310	666
606	3316	661
607	3321	655
608	3326	650
609	3332	644
610	3337	639
611	3342	633
612	3348	628
613	3353	622
614	3358	617
615	3364	611
616	3370	606
617	3375	600
618	3381	595
619	3386	589
620	3392	584
621	3398	579
622	3403	573
623	3409	568
624	3414	562
625	3420	557
626	3425	551
627	3430	546
628	3436	540
629	3442	535
630	3447	530
631	3453	524
632	3459	519
633	3465	513
634	3471	508
635	3476	502
636	3481	497
637	3487	491
638	3493	486
639	3499	481
640	3504	475
641	3509	470
642	3515	464
643	3520	459
644	3525	453
645	3531	448
646	3537	442
647	3542	437
648	3548	431
649	3553	426
650	3559	420
651	3564	415
652	3569	409
653	3574	404
654	3580	399
655	3585	393
656	3590	388
657	3596	382
658	3601	377
659	3606	371
660	3612	366
661	3618	360
662	3624	355
663	3629	349
664	3635	344
665	3640	338
666	3646	333
667	3652	328
668	3657	322
669	3663	317
670	3668	311
671	3673	306
672	3679	300
673	3684	295
674	3690	289
675	3695	284
676	3701	278
677	3706	273
678	3712	267
679	3718	262
680	3724	257
681	3730	251
682	3736	246
683	3741	240
684	3746	235
685	3752	229
686	3757	224
687	3762	218
688	3768	213
689	3773	207
690	3778	202
691	3784	196
692	3789	191
693	3794	185
694	3800	180
695	3806	175
696	3812	169
697	3817	164
698	3822	158
699	3828	153
700	3834	147
701	3840	142
702	3846	136
703	3851	131
704	3856	125
705	3862	120
706	3867	114
707	3872	109
708	3878	103
709	3883	98
710	3888	92
711	3894	87
712	3899	82
713	3905	76
714	3911	71
715	3917	65
716	3923	60
717	3928	54
718	3933	49
719	3939	43
720	3944	38
721	3949	32
722	3955	27
723	3960	21
724	3966	16
725	3971	10
726	3976	5
727	3981	0
